anio;provincia_id;provincia_nombre;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas
2014;2;caba;1;Homicidios dolosos;185;200
2014;2;caba;2;Homicidios dolosos en grado de tentativa;54;68
2014;2;caba;3;Muertes en Accidentes Viales;82;102
2014;2;caba;4;Homicidios culposos por otros hechos;23;24
2014;2;caba;5;Lesiones dolosas;18679;21175
2014;2;caba;6;Lesiones culposas en Accidentes Viales;9009;10562
2014;2;caba;7;Lesiones culposas por otros hechos;2773;3133
2014;2;caba;8;Otros delitos contra las personas;533;623
2014;2;caba;9;Delitos contra el honor;0;0
2014;2;caba;10;Violaciones;267;291
2014;2;caba;11;Otros delitos contra la integridad sexual;639;718
2014;2;caba;12;Delitos contra el estado civil;2;
2014;2;caba;13;Amenazas;12441;
2014;2;caba;14;Otros delitos contra la libertad;2070;
2014;2;caba;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);75685;
2014;2;caba;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);5036;
2014;2;caba;17;Robos agravados por el resultado de lesiones y/o muertes ;166;
2014;2;caba;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;27;
2014;2;caba;19;Hurtos;48317;
2014;2;caba;20;Tentativas de hurto;850;
2014;2;caba;21;Otros delitos contra la propiedad;7246;
2014;2;caba;22;Delitos contra la seguridad pública;661;
2014;2;caba;23;Delitos contra el orden público;327;
2014;2;caba;24;Delitos contra la seguridad de la nación;1;
2014;2;caba;25;Delitos contra los poderes públicos y el orden constitucional;0;
2014;2;caba;26;Delitos contra la administración pública;3529;
2014;2;caba;27;Delitos contra la fe pública;437;
2014;2;caba;28;Ley 23.737 (estupefacientes);4715;
2014;2;caba;29;Otros delitos previstos en leyes especiales;2345;
2015;2;caba;1;Homicidios dolosos;155;165
2015;2;caba;2;Homicidios dolosos en grado de tentativa;43;53
2015;2;caba;3;Muertes en Accidentes Viales;93;111
2015;2;caba;4;Homicidios culposos por otros hechos;21;30
2015;2;caba;5;Lesiones dolosas;17974;20313
2015;2;caba;6;Lesiones culposas en Accidentes Viales;9675;11395
2015;2;caba;7;Lesiones culposas por otros hechos;1767;2014
2015;2;caba;8;Otros delitos contra las personas;544;656
2015;2;caba;9;Delitos contra el honor;0;0
2015;2;caba;10;Violaciones;273;299
2015;2;caba;11;Otros delitos contra la integridad sexual;681;780
2015;2;caba;12;Delitos contra el estado civil;3;
2015;2;caba;13;Amenazas;10761;
2015;2;caba;14;Otros delitos contra la libertad;1859;
2015;2;caba;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);62909;
2015;2;caba;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);4511;
2015;2;caba;17;Robos agravados por el resultado de lesiones y/o muertes ;133;
2015;2;caba;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;24;
2015;2;caba;19;Hurtos;42410;
2015;2;caba;20;Tentativas de hurto;775;
2015;2;caba;21;Otros delitos contra la propiedad;6222;
2015;2;caba;22;Delitos contra la seguridad pública;658;
2015;2;caba;23;Delitos contra el orden público;777;
2015;2;caba;24;Delitos contra la seguridad de la nación;0;
2015;2;caba;25;Delitos contra los poderes públicos y el orden constitucional;1;
2015;2;caba;26;Delitos contra la administración pública;3065;
2015;2;caba;27;Delitos contra la fe pública;452;
2015;2;caba;28;Ley 23.737 (estupefacientes);7140;
2015;2;caba;29;Otros delitos previstos en leyes especiales;2084;
2016;2;caba;1;Homicidios dolosos;145;146
2016;2;caba;2;Homicidios dolosos en grado de tentativa;73;87
2016;2;caba;3;Muertes en Accidentes Viales;135;138
2016;2;caba;4;Homicidios culposos por otros hechos;12;15
2016;2;caba;5;Lesiones dolosas;18134;20450
2016;2;caba;6;Lesiones culposas en Accidentes Viales;8887;9730
2016;2;caba;7;Lesiones culposas por otros hechos;2229;2545
2016;2;caba;8;Otros delitos contra las personas;550;670
2016;2;caba;9;Delitos contra el honor;0;0
2016;2;caba;10;Violaciones;260;291
2016;2;caba;11;Otros delitos contra la integridad sexual;757;898
2016;2;caba;12;Delitos contra el estado civil;4;
2016;2;caba;13;Amenazas;9992;
2016;2;caba;14;Otros delitos contra la libertad;2736;
2016;2;caba;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);71226;
2016;2;caba;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);5005;
2016;2;caba;17;Robos agravados por el resultado de lesiones y/o muertes ;0;
2016;2;caba;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;19;
2016;2;caba;19;Hurtos;46178;
2016;2;caba;20;Tentativas de hurto;467;
2016;2;caba;21;Otros delitos contra la propiedad;7446;
2016;2;caba;22;Delitos contra la seguridad pública;692;
2016;2;caba;23;Delitos contra el orden público;1058;
2016;2;caba;24;Delitos contra la seguridad de la nación;0;
2016;2;caba;25;Delitos contra los poderes públicos y el orden constitucional;1;
2016;2;caba;26;Delitos contra la administración pública;3233;
2016;2;caba;27;Delitos contra la fe pública;552;
2016;2;caba;28;Ley 23.737 (estupefacientes);7455;
2016;2;caba;29;Otros delitos previstos en leyes especiales;3744;
2017;2;caba;1;Homicidios dolosos;135;143
2017;2;caba;2;Homicidios dolosos en grado de tentativa;58;73
2017;2;caba;3;Muertes en Accidentes Viales;131;140
2017;2;caba;4;Homicidios culposos por otros hechos;20;22
2017;2;caba;5;Lesiones dolosas;15966;27594
2017;2;caba;6;Lesiones culposas en Accidentes Viales;9851;11404
2017;2;caba;7;Lesiones culposas por otros hechos;2399;2637
2017;2;caba;8;Otros delitos contra las personas;660;780
2017;2;caba;9;Delitos contra el honor;2;2
2017;2;caba;10;Violaciones;146;161
2017;2;caba;11;Otros delitos contra la integridad sexual;1391;1601
2017;2;caba;12;Delitos contra el estado civil;0;
2017;2;caba;13;Amenazas;10391;
2017;2;caba;14;Otros delitos contra la libertad;1955;
2017;2;caba;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);68219;
2017;2;caba;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);5005;
2017;2;caba;17;Robos agravados por el resultado de lesiones y/o muertes ;78;
2017;2;caba;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;25;
2017;2;caba;19;Hurtos;42150;
2017;2;caba;20;Tentativas de hurto;456;
2017;2;caba;21;Otros delitos contra la propiedad;7931;
2017;2;caba;22;Delitos contra la seguridad pública;888;
2017;2;caba;23;Delitos contra el orden público;1626;
2017;2;caba;24;Delitos contra la seguridad de la nación;2;
2017;2;caba;25;Delitos contra los poderes públicos y el orden constitucional;0;
2017;2;caba;26;Delitos contra la administración pública;3506;
2017;2;caba;27;Delitos contra la fe pública;429;
2017;2;caba;28;Ley 23.737 (estupefacientes);7695;
2017;2;caba;29;Otros delitos previstos en leyes especiales;3723;
2017;2;caba;32;Delitos contra el orden económico y financiero;72;
2018;2;caba;1;Homicidios dolosos;133;137
2018;2;caba;2;Homicidios dolosos en grado de tentativa;30;33
2018;2;caba;3;Muertes en Accidentes Viales;143;149
2018;2;caba;4;Homicidios culposos por otros hechos;23;24
2018;2;caba;5;Lesiones dolosas;15103;15140
2018;2;caba;6;Lesiones culposas en Accidentes Viales;10061;11750
2018;2;caba;7;Lesiones culposas por otros hechos;1926;1999
2018;2;caba;8;Otros delitos contra las personas;783;841
2018;2;caba;9;Delitos contra el honor;31;32
2018;2;caba;10;Violaciones;176;184
2018;2;caba;11;Otros delitos contra la integridad sexual;1783;1836
2018;2;caba;12;Delitos contra el estado civil;5;
2018;2;caba;13;Amenazas;10609;
2018;2;caba;14;Otros delitos contra la libertad;1724;
2018;2;caba;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);70916;
2018;2;caba;16;Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte);4598;
2018;2;caba;17;Robos agravados por el resultado de lesiones y/o muertes ;205;
2018;2;caba;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;13;
2018;2;caba;19;Hurtos;42274;
2018;2;caba;20;Tentativas de hurto;387;
2018;2;caba;21;Otros delitos contra la propiedad;11312;
2018;2;caba;22;Delitos contra la seguridad pública;1072;
2018;2;caba;23;Delitos contra el orden público;895;
2018;2;caba;24;Delitos contra la seguridad de la nación;17;
2018;2;caba;25;Delitos contra los poderes públicos y el orden constitucional;4;
2018;2;caba;26;Delitos contra la administración pública;3678;
2018;2;caba;27;Delitos contra la fe pública;638;
2018;2;caba;28;Ley 23.737 (estupefacientes);11595;
2018;2;caba;29;Otros delitos previstos en leyes especiales;4227;
2018;2;caba;32;Delitos contra el orden económico y financiero;17;
2019;2;caba;1;Homicidios dolosos;96;102
2019;2;caba;2;Homicidios dolosos en grado de tentativa;64;84
2019;2;caba;3;Muertes en Accidentes Viales;102;103
2019;2;caba;4;Homicidios culposos por otros hechos;25;33
2019;2;caba;5;Lesiones dolosas;15432;17824
2019;2;caba;6;Lesiones culposas en Accidentes Viales;10234;11992
2019;2;caba;7;Lesiones culposas por otros hechos;668;846
2019;2;caba;8;Otros delitos contra las personas;639;823
2019;2;caba;9;Delitos contra el honor;38;38
2019;2;caba;10;Violaciones;404;426
2019;2;caba;11;Otros delitos contra la integridad sexual;2246;2443
2019;2;caba;12;Delitos contra el estado civil;12;
2019;2;caba;13;Amenazas;11933;
